P	P (slang)_femme_(lesbian_stereotype) 
夙	夙 morning early long-held long-cherished 
多	多 many much often a_lot_of numerous more in_excess how_(to_what_extent) multi- Taiwan_pr._[duo2]_when_it_means_"how" 
咾	咾 a_noise a_sound 
咿	咿 (onom.)_to_squeak 
哀	哀 Ai_(c._2000_BC),_sixth_of_legendary_Flame_Emperors_炎帝[Yan2_di4]_descended_from_Shennong_神農|神农[Shen2_nong2]_Farmer_God,_also_known_as_Li_釐|厘[Li2] 
哀	哀 sorrow grief pity to_grieve_for to_pity to_lament to_condole 
唪	唪 recite chant 
唫	唫 old_variant_of_吟[yin2] 
唫	唫 to_stutter to_shut_one's_mouth Taiwan_pr._[yin2] 
唫	唫 variant_of_崟[yin2] 
唬	唬 a_tiger's_roar to_scare 
售	售 to_sell to_make_or_carry_out_(a_plan_or_intrigue_etc) 
唯	唯 -ism only alone 
唯	唯 yes 
哈	哈 (interj.)_ha! (onom._for_laughter) (slang)_to_be_infatuated_with to_adore abbr._for_哈士奇[ha1_shi4_qi2],_husky_(dog) 
吰	吰 clang 
吱	吱 (onom.)_to_squeak_(of_mice) to_chirp_or_peep_(of_small_birds) 
哉	哉 (exclamatory_or_interrogative_particle) 
哎	哎 hey! (interjection_used_to_attract_attention_or_to_express_surprise_or_disapprobation) 
哏	哏 old_variant_of_狠[hen3] old_variant_of_很[hen3] also_used_as_an_exclamation_of_anger 
哞	哞 moo_(sound_made_by_cow) 
員	員 person employee member 
哢	哢 to_sing_or_chirp_(of_birds) music_sound 
哤	哤 jargon 
哥	哥 elder_brother 
夜	夜 night 
喈	喈 harmonious_(of_music) 
喉	喉 throat larynx 
喊	喊 to_yell to_shout to_call_out_for_(a_person) 
喋	喋 flowing_flood to_chatter 
喌	喌 syllable 
喎	喎 awry_(mouth) askew Taiwan_pr._[kuai1] 
喏	喏 (indicating_agreement)_yes all_right (drawing_attention_to)_look! here! variant_of_諾|诺[nuo4] 
喏	喏 to_salute make_one's_curtsy 
喑	喑 mute 
喒	喒 variant_of_咱[zan2] 
喓	喓 grasshopper_chirp mosquito_buzz 
喔	喔 I_see oh 
呦	呦 Oh!_(exclamation_of_dismay_etc) see_呦呦[you1_you1] 
呧	呧 vex 
周	周 surname_Zhou Zhou_Dynasty_(1046-256_BC) 
周	周 to_make_a_circuit to_circle circle circumference lap cycle complete all all_over thorough to_help_financially 
啑	啑 old_variant_of_喋[die2] 
啓	啓 variant_of_啟|启[qi3] 
啕	啕 wail 
啗	啗 variant_of_啖[dan4] 
啜	啜 (literary)_to_drink to_sip to_sob 
啞	啞 dumb mute hoarse husky unexploded_(of_artillery_shell_etc) 
品	品 article commodity product goods kind grade rank character disposition nature temperament variety to_taste_sth to_sample to_criticize to_comment to_judge to_size_up 
唰	唰 (onom.)_swishing rustling 
唱	唱 to_sing to_call_loudly to_chant 
吵	吵 to_quarrel to_make_a_noise noisy to_disturb_by_making_a_noise 
吶	吶 battle_cry 
哦	哦 to_chant 
哦	哦 oh_(interjection_indicating_that_one_has_just_learned_sth) 
哧	哧 (onom.)_giggling breathing tearing_of_paper,_ripping_of_fabric_etc 
哨	哨 a_whistle sentry 
哩	哩 (modal_final_particle_similar_to_呢[ne5]_or_啦[la5]) 
哪	哪 how which 
哪	哪 (particle_equivalent_to_啊_after_noun_ending_in_-n) 
啟	啟 to_open to_start to_initiate to_enlighten_or_awaken to_state to_inform 
啐	啐 to_spit (onom.)_pshaw! (old)_to_sip 
啖	啖 to_eat to_taste to_entice_(using_bait) 
啞	啞 (onom.)_sound_of_cawing sound_of_infant_learning_to_talk variant_of_呀[ya1] 
卹	卹 anxiety sympathy to_sympathize to_give_relief to_compensate 
哂	哂 (literary)_to_smile to_sneer 
唲	唲 forced_laughter 
唳	唳 cry_of_a_crane_or_wild_goose 
吸	吸 to_breathe to_suck_in to_absorb to_inhale 
孑	孑 all_alone 
夢	夢 dream CL:場|场[chang2],個|个[ge4] 
夣	夣 old_variant_of_夢|梦[meng4] 
夤	夤 late_at_night 
夥	夥 companion partner group classifier_for_groups_of_people to_combine together 
夥	夥 many numerous 
唵	唵 (interjection)_oh! (dialect)_to_stuff_sth_in_one's_mouth (used_in_buddhist_transliterations)_om 
唶	唶 sigh groan loud_laughter 
唷	唷 (interjection_expressing_surprise)_Oh! My! 
唷	唷 final_particle_expressing_exhortation,_admiration_etc 
唸	唸 variant_of_念[nian4],_to_read_aloud 
唹	唹 to_smile_at 
唻	唻 (modal_particle_similar_to_呢[ne5]_or_啦[la1]) 
唼	唼 to_speak_evil gobbling_sound_made_by_ducks 
唾	唾 saliva to_spit 
吜	吜 (onom.) 
吝	吝 stingy 
吞	吞 to_swallow to_take 
吟	吟 to_chant to_recite to_moan to_groan cry_(of_certain_animals_and_insects) song_(ancient_poem) 
哪	哪 which?_(interrogative,_followed_by_classifier_or_numeral-classifier) 
哫	哫 to_cajole 
哭	哭 to_cry to_weep 
哇	哇 Wow! sound_of_child's_crying sound_of_vomiting 
天	天 day sky heaven 
哄	哄 roar_of_laughter_(onom.) hubbub to_roar_(as_a_crowd) 
哄	哄 to_deceive to_coax to_amuse_(a_child) 
哆	哆 quiver woolen_cloth 
哇	哇 replaces_啊[a5]_when_following_the_vowel_"u"_or_"ao" 
哈	哈 abbr._for_哈薩克斯坦|哈萨克斯坦[Ha1_sa4_ke4_si1_tan3],_Kazakhstan abbr._for_哈爾濱|哈尔滨[Ha1_er3_bin1],_Harbin 
哈	哈 a_Pekinese a_pug (dialect)_to_scold 
唿	唿 to_whistle_(with_fingers_in_one's_mouth) (onom.)_for_the_sound_of_the_wind 
孬	孬 (dialect)_no_good (contraction_of_不_and_好) see_孬種|孬种[nao1_zhong3] 
孭	孭 to_carry_on_the_back_or_shoulders_(Cantonese) 
孰	孰 who which what 
孱	孱 see_孱頭|孱头[can4_tou5] 
孱	孱 weak feeble lowly 
孳	孳 industrious produce bear 
孵	孵 breeding to_incubate to_hatch 
孶	孶 old_variant_of_孳[zi1] 
塒	塒 hen_roost 
塓	塓 to_plaster whitewash_(wall) 
塔	塔 pagoda tower minaret stupa_(abbr._loanword_from_Sanskrit_tapo) CL:座[zuo4] 
徒	徒 disciple apprentice believer on_foot bare_or_empty to_no_avail only prison_sentence 
従	従 old_variant_of_從|从[cong2] 
得	得 to_obtain to_get to_gain to_catch_(a_disease) proper suitable proud contented to_allow to_permit ready finished 
得	得 structural_particle:_used_after_a_verb_(or_adjective_as_main_verb),_linking_it_to_following_phrase_indicating_effect,_degree,_possibility_etc 
得	得 to_have_to must ought_to to_need_to 
尲	尲 variant_of_尷|尴[gan1] 
尶	尶 old_variant_of_尷|尴[gan1] 
尷	尷 embarrassed ill_at_ease 
尸	尸 person_representing_the_dead_(during_burial_ceremonies) to_put_a_corpse_on_display_(after_execution) variant_of_屍|尸[shi1] corpse 
尹	尹 surname_Yin 
尹	尹 to_administer to_oversee to_run magistrate_(old) 
尺	尺 one_of_the_characters_used_to_represent_a_musical_note_in_gongche_notation,_工尺譜|工尺谱[gong1_che3_pu3] 
寧	寧 abbr._for_Ningxia_Hui_Autonomous_Region_寧夏回族自治區|宁夏回族自治区[Ning2_xia4_Hui2_zu2_Zi4_zhi4_qu1] abbr._for_Nanjing_南京[Nan2_jing1] surname_Ning 
寧	寧 peaceful to_pacify to_visit_(one's_parents_etc) 
寧	寧 would_rather to_prefer how_(emphatic) Taiwan_pr._[ning2] 
尐	尐 (literary)_few a_couple_of 
少	少 few less to_lack to_be_missing to_stop_(doing_sth) seldom 
少	少 young 
怨	怨 to_blame to_complain 
左	左 left the_Left_(politics) east unorthodox queer wrong differing opposite variant_of_佐[zuo3] 
忬	忬 old_variant_of_舒[shu1] old_variant_of_紓|纾[shu1] 
忬	忬 old_variant_of_豫[yu4] 
忭	忭 delighted pleased 
忮	忮 aggressive 
忱	忱 sincerity honesty 
忲	忲 variant_of_忕[tai4] 
念	念 to_read to_study_(a_subject) to_attend_(a_school) to_read_aloud to_miss_(sb) idea remembrance twenty_(banker's_anti-fraud_numeral_corresponding_to_廿,_20) 
忸	忸 accustomed_to blush be_shy 
怩	怩 shy timid bashful to_look_ashamed 
怪	怪 bewildering odd strange uncanny devil monster to_wonder_at to_blame quite rather 
徇	徇 to_give_in_to to_be_swayed_by_(personal_considerations_etc) Taiwan_pr._[xun2] to_follow to_expose_publicly variant_of_侚[xun4] variant_of_殉[xun4] 
很	很 (adverb_of_degree) quite very awfully 
徉	徉 to_walk_back_and_forth 
徊	徊 see_徘徊[pai2_huai2],_to_dither to_hesitate to_pace_back_and_forth irresolute 
律	律 surname_Lü 
律	律 law 
後	後 back behind rear afterwards after later 
循	循 to_follow to_adhere_to to_abide_by 
忻	忻 happy 
彤	彤 surname_Tong 
彤	彤 red 
彥	彥 accomplished elegant 
彧	彧 accomplished elegant 
彩	彩 (bright)_color variety applause applaud lottery_prize 
彞	彞 ancient_wine_vessel ancient_sacrificial_vessel Yi_ethnic_group normal_nature_of_man laws_and_rules 
彡	彡 "bristle"_radical_in_Chinese_characters_(Kangxi_radical_59) 
尺	尺 a_Chinese_foot one-third_of_a_meter a_ruler a_tape-measure one_of_the_three_acupoints_for_measuring_pulse_in_Chinese_medicine CL:支[zhi1],把[ba3] 
尻	尻 coccyx tailbone_at_end_of_spine rear_joint_of_meat_animal 
尼	尼 Buddhist_nun (often_used_in_phonetic_spellings) 
徬	徬 irresolute 
徭	徭 compulsory_service 
微	微 surname_Wei ancient_Chinese_state_near_present_day_Chongqing Taiwan_pr._[Wei2] 
微	微 tiny miniature slightly profound abtruse to_decline one_millionth_part_of micro- Taiwan_pr._[wei2] 
必	必 certainly must will necessarily 
性	性 nature character property quality attribute sexuality sex gender suffix_forming_adjective_from_verb suffix_forming_noun_from_adjective,_corresponding_to_-ness_or_-ity essence CL:個|个[ge4] 
徹	徹 thorough penetrating to_pervade to_pass_through 
忽	忽 surname_Hu 
忽	忽 to_neglect to_overlook to_ignore suddenly 
忿	忿 anger indignation hatred 
尉	尉 surname_Wei 
尉	尉 military_officer 
寎	寎 nightmare start_in_sleep 
寐	寐 to_sleep_soundly 
寑	寑 old_variant_of_寢|寝[qin3] 
寒	寒 cold poor to_tremble 
彫	彫 variant_of_雕[diao1],_to_engrave 
徻	徻 a_wide_room 
徼	徼 by_mere_luck 
徼	徼 boundary to_go_around 
徽	徽 badge emblem insignia crest logo coat_of_arms 
忀	忀 to_stroll to_ramble 
忂	忂 old_variant_of_躣[qu2] 
心	心 heart mind intention center core CL:顆|颗[ke1],個|个[ge4] 
屘	屘 the_youngest 
怏	怏 discontented 
尾	尾 tail remainder remnant extremity sixth_of_the_28_constellations classifier_for_fish 
尾	尾 horse's_tail pointed_posterior_section_of_a_locust_etc 
忉	忉 grieved 
忌	忌 to_be_jealous_of fear dread scruple to_avoid_or_abstain_from to_quit to_give_up_sth 
忍	忍 to_bear to_endure to_tolerate to_restrain_oneself 
怒	怒 anger fury flourishing vigorous 
徙	徙 (literary)_to_change_one's_residence 
寨	寨 stronghold stockade camp (stockaded)_village 
尊	尊 senior of_a_senior_generation to_honor to_respect honorific classifier_for_cannons_and_statues ancient_wine_vessel 
尓	尓 variant_of_爾|尔[er3] 
尕	尕 little_(dialect) 
寓	寓 to_reside to_imply to_contain residence 
寔	寔 really solid 
寕	寕 old_variant_of_寧|宁[ning4] 
寗	寗 old_variant_of_甯|宁[ning2] 
寙	寙 bad useless weak 
寛	寛 Japanese_variant_of_寬|宽 
寞	寞 lonesome 
寸	寸 a_unit_of_length inch thumb 
怍	怍 ashamed 
怎	怎 how 
彪	彪 tiger_stripes tiger_cub (old)_classifier_for_troops 
彬	彬 ornamental refined 
彭	彭 surname_Peng 
彎	彎 to_bend bent a_bend a_turn_(in_the_road_etc) CL:道[dao4] 
寺	寺 Buddhist_temple mosque government_office_(old) 
対	対 Japanese_variant_of_對|对[dui4] 
導	導 to_transmit to_lead to_guide to_conduct to_direct 
忐	忐 nervous 
忑	忑 nervous 
忒	忒 to_err to_change 
忒	忒 (dialect)_too very also_pr._[tui1] 
忕	忕 accustomed_to habit 
忕	忕 extravagant luxurious 
忖	忖 to_ponder to_speculate to_consider to_guess 
志	志 aspiration ambition the_will 
尗	尗 archaic_variant_of_菽[shu1] archaic_variant_of_叔[shu1] 
尙	尙 variant_of_尚,_still yet to_value to_esteem 
尚	尚 surname_Shang 
尚	尚 still yet to_value to_esteem 
審	審 to_examine to_investigate carefully to_try_(in_court) 
尋	尋 to_search to_look_for to_seek 
怛	怛 distressed alarmed shocked grieved 
思	思 to_think to_consider 
寠	寠 poor rustic 
寡	寡 few scant widowed 
寢	寢 to_lie_down 
寤	寤 to_awake_from_sleep 
寥	寥 empty lonesome very_few 
實	實 real true honest really solid fruit seed definitely 
彲	彲 variant_of_螭[chi1] 
彳	彳 step_with_the_left_foot_(Kangxi_radical_60) see_also_彳亍[chi4_chu4] 
彴	彴 bridge 
彷	彷 seemingly 
彷	彷 irresolute 
彸	彸 restless,_agitated 
役	役 forced_labor corvée obligatory_task military_service to_use_as_servant to_enserf servant_(old) war campaign battle 
彼	彼 that those (one)_another 
徯	徯 footpath wait_for 
徳	徳 Japanese_variant_of_德 
徴	徴 Japanese_variant_of_徵|征 
徵	徵 to_invite to_recruit to_levy_(taxes) to_draft_(troops) phenomenon symptom characteristic_sign_(used_as_proof) evidence 
徵	徵 4th_note_in_pentatonic_scale_五音[wu3_yin1],_roughly_sol see_also_徵|征[zheng1] 
忘	忘 to_forget to_overlook to_neglect 
忙	忙 busy hurriedly to_hurry to_rush 
専	専 Japanese_variant_of_專|专 
尃	尃 to_state_to,_to_announce 
射	射 to_shoot to_launch to_allude_to radio-_(chemistry) 
尜	尜 toy_formed_of_a_spindle_with_two_sharp_ends 
尟	尟 variant_of_鮮|鲜[xian3] 
尠	尠 variant_of_尟|鲜[xian3] 
尢	尢 lame 
尤	尤 surname_You 
尤	尤 outstanding particularly,_especially a_fault to_express_discontentment_against 
恩	恩 favor grace kindness 
寪	寪 surname_Wei 
寫	寫 to_write 
尌	尌 standing_up to_stand_(something)_up 
娸	娸 to_ridicule ugly 
怞	怞 to_grieve sorrowful 
怠	怠 idle lazy negligent careless 
怡	怡 harmony pleased 
婀	婀 graceful willowy unstable 
婁	婁 surname_Lou one_of_the_28_lunar_mansions_in_Chinese_astronomy 
彽	彽 go_to_and_fro 
彿	彿 seemingly 
往	往 to_go_(in_a_direction) to towards (of_a_train)_bound_for past previous 
徠	徠 see_招徠|招徕[zhao1_lai2] 
御	御 to_resist imperial (classical)_to_drive_(a_chariot) to_manage to_govern 
德	德 Germany German abbr._for_德國|德国[De2_guo2] 
德	德 virtue goodness morality ethics kindness favor character kind 
忛	忛 erroneous_variant_of_帆[fan1] 
応	応 Japanese_variant_of_應|应 
忝	忝 to_shame 
忞	忞 to_encourage_oneself 
忞	忞 ancient_variant_of_暋[min3] 
忞	忞 disorderly messy chaotic 
忠	忠 loyal devoted honest 
彊	彊 variant_of_強|强[jiang4] 
彊	彊 variant_of_強|强[qiang2] 
彊	彊 variant_of_強|强[qiang3] 
尅	尅 variant_of_剋|克[ke4] 
尥	尥 to_give_a_backward_kick_(e.g._of_a_horse) 
尨	尨 surname_Pang 
尨	尨 shaggy_dog striped 
尨	尨 old_variant_of_龐|庞[pang2] huge enormous 
尩	尩 variant_of_尪[wang1] 
尪	尪 feeble lame 
尬	尬 see_尷尬|尴尬[gan1_ga4] 
尭	尭 Japanese_variant_of_堯|尧[yao2] 
尰	尰 swell 
寬	寬 surname_Kuan 
寬	寬 lenient wide broad 
急	急 urgent pressing rapid hurried worried to_make_(sb)_anxious 
彐	彐 pig_snout_(Kangxi_radical_58) 
彑	彑 variant_of_彐[ji4] 
彔	彔 to_carve_wood 
彖	彖 to_foretell_the_future_using_the_trigrams_of_the_Book_of_Changes_易經|易经 
彗	彗 broom 
彘	彘 swine 
徐	徐 surname_Xu 
徐	徐 slowly gently 
就	就 at_once right_away only just_(emphasis) as_early_as already as_soon_as then in_that_case as_many_as even_if to_approach to_move_towards to_undertake to_engage_in to_suffer subjected_to to_accomplish to_take_advantage_of to_go_with_(of_foods) with_regard_to concerning 
將	將 will shall to_use to_take to_checkmate just_a_short_while_ago (introduces_object_of_main_verb,_used_in_the_same_way_as_把[ba3]) 
將	將 general commander-in-chief_(military) king_(chess_piece) to_command to_lead 
將	將 to_desire to_invite to_request 
恪	恪 surname_Ke 
恪	恪 respectful scrupulous 
征	征 journey trip expedition to_go_on_long_campaign to_attack 
徧	徧 variant_of_遍[bian4] 
徨	徨 irresolute 
復	復 to_go_and_return to_return to_resume to_return_to_a_normal_or_original_state to_repeat again to_recover to_restore to_turn_over to_reply to_answer to_reply_to_a_letter to_retaliate to_carry_out 
忡	忡 grieved distressed sad uneasy 
忤	忤 disobedient unfilial 
忪	忪 restless agitated 
快	快 rapid quick speed rate soon almost to_make_haste clever sharp_(of_knives_or_wits) forthright plainspoken gratified pleased pleasant 
彙	彙 class collection 
彛	彛 variant_of_彞|彝[yi2] 
彠	彠 see_武士彠|武士彟[Wu3_Shi4_huo4] old_variant_of_蒦[huo4] 
形	形 to_appear to_look form shape 
徑	徑 footpath track diameter straight directly 
徒	徒 surname_Tu 
怦	怦 impulsive 
徂	徂 to_go to_reach 
徃	徃 old_variant_of_往[wang3] 
待	待 to_stay 
待	待 to_wait to_treat to_deal_with to_need going_to_(do_sth) about_to intending_to 
專	專 for_a_particular_person,_occasion,_purpose focused_on_one_thing special expert particular_(to_sth) concentrated specialized 
愜	愜 cheerful satisfied 
感	感 to_feel to_move to_touch to_affect feeling emotion (suffix)_sense_of_~ 
寮	寮 Laos 
寮	寮 hut shack small_window variant_of_僚[liao2] 
寰	寰 large_domain extensive_region 
寳	寳 variant_of_寶|宝[bao3] 
寵	寵 to_love to_pamper to_spoil to_favor 
寶	寶 jewel gem treasure precious 
對	對 right correct couple pair towards at for to_face opposite to_treat_(sb_a_certain_way) to_match_together to_adjust to_fit to_suit to_answer to_reply classifier:_couple 
屋	屋 house room CL:間|间[jian1],個|个[ge4] 
屌	屌 penis (slang)_cool_or_extraordinary (Cantonese)_to_fuck 
屍	屍 corpse 
屎	屎 stool feces ear_wax nasal_mucus 
屏	屏 see_屏營|屏营[bing1_ying2] 
居	居 to_reside to_be_(in_a_certain_position) to_store_up to_be_at_a_standstill residence house restaurant classifier_for_bedrooms 
峂	峂 (used_in_place_names) 
峇	峇 (used_in_transliteration) 
峇	峇 cave 
峇	峇 cave cavern also_pr._[ke1] 
峋	峋 ranges_of_hills 
峒	峒 cave cavern 
峒	峒 name_of_a_mountain 
峓	峓 place_name 
峙	峙 peak to_store 
峚	峚 see_峚山[Mi4_Shan1] 
峝	峝 variant_of_峒[tong2] 
峞	峞 high_and_uneven 
峨	峨 lofty name_of_a_mountain 
嫄	嫄 name_of_an_empress 
嫈	嫈 attentively carefully 
嫉	嫉 jealousy to_be_jealous_of 
嫋	嫋 delicate graceful 
嫌	嫌 to_dislike suspicion resentment enmity abbr._for_嫌犯[xian2_fan4],_criminal_suspect 
嫏	嫏 see_嫏嬛[Lang2_huan2] 
嫐	嫐 to_tease to_play_around_with 
嫑	嫑 (dialect)_don't must_not (contraction_of_不_and_要) 
嫕	嫕 compliant yielding easy-going 
嫖	嫖 to_visit_a_prostitute 
妁	妁 surname_Suo 
娘	娘 mother young_lady (coll.)_effeminate 
娚	娚 old_variant_of_喃[nan2] 
娛	娛 to_amuse 
娜	娜 elegant graceful 
娟	娟 beautiful graceful 
娠	娠 pregnant 
娣	娣 wife_of_a_younger_brother 
娥	娥 good beautiful 
嵋	嵋 see_峨嵋山[E2_mei2_Shan1] 
嵌	嵌 see_赤嵌樓|赤嵌楼[Chi4_kan3_lou2] 
嵌	嵌 to_inlay to_embed 
嵎	嵎 mountain_range 
嵐	嵐 mist name_of_a_mountain 
嵒	嵒 variant_of_巖|岩[yan2] 
嵓	嵓 variant_of_岩[yan2] variant_of_嚴|严[yan2] 
嵗	嵗 variant_of_歲|岁[sui4],_year years_old 
嵙	嵙 place_name 
嵛	嵛 place_name_in_Shandong 
嵞	嵞 Mt_Tu_in_Zhejiang also_written_涂 
嵡	嵡 of_mountainous_appearance 
嵩	嵩 lofty Mt_Song_in_Henan 
屏	屏 to_get_rid_of to_put_aside to_reject to_keep_control to_hold_(one's_breath) 
姒	姒 surname_Si 
姒	姒 wife_or_senior_concubine_of_husbands_older_brother_(old) elder_sister_(old) 
姓	姓 family_name surname CL:個|个[ge4] to_be_surnamed 
委	委 surname_Wei 
委	委 same_as_逶_in_逶迤_winding,_curved 
委	委 to_entrust to_cast_aside to_shift_(blame_etc) to_accumulate roundabout winding dejected listless committee_member council end actually certainly 
嫫	嫫 ugly_woman 
娓	娓 active comply_with 
娜	娜 (phonetic_na) used_esp._in_female_names_such_as_Anna_安娜[An1_na4]_or_Diana_黛安娜[Dai4_an1_na4] 
妁	妁 matchmaker see_媒妁[mei2_shuo4] 
如	如 as as_if such_as 
巴	巴 Ba_state_during_Zhou_dynasty_(in_east_of_modern_Sichuan) abbr._for_east_Sichuan_or_Chongqing surname_Ba abbr._for_Palestine_or_Palestinian abbr._for_Pakistan 
巴	巴 to_long_for to_wish to_cling_to to_stick_to sth_that_sticks close_to next_to spread_open informal_abbr._for_bus_巴士[ba1_shi4] bar_(unit_of_pressure) nominalizing_suffix_on_certain_nouns,_such_as_尾巴[wei3_ba5],_tail 
帑	帑 state_treasury public_funds 
帔	帔 cape 
帕	帕 to_wrap kerchief handkerchief headscarf pascal_(SI_unit) 
岵	岵 mountain_covered_with_vegetation the_residence_of_one's_father see_also_屺[qi3] 
岸	岸 bank shore beach coast CL:個|个[ge4] 
岹	岹 variant_of_岧[tiao2] 
峁	峁 round_yellow_dirt_mount_(in_the_Northwest_of_China) 
屏	屏 (standing)_screen 
屐	屐 clogs 
屑	屑 bits fragments crumbs filings trifling trivial to_condescend_to 
屓	屓 variant_of_屭|屃[xi4] 
展	展 surname_Zhan 
展	展 to_spread_out to_open_up to_exhibit to_put_into_effect to_postpone to_prolong exhibition 
工	工 work worker skill profession trade craft labor 
峩	峩 variant_of_峨[e2] 
峪	峪 valley 
峭	峭 high_and_steep precipitous severe_or_stern 
峯	峯 old_variant_of_峰[feng1] 
嫬	嫬 old_character_used_in_female_names 
嫭	嫭 beautiful a_beauty 
嫮	嫮 old_variant_of_嫭[hu4] 
嫰	嫰 old_variant_of_嫩[nen4] tender delicate 
嫵	嫵 flatter to_please 
嫺	嫺 variant_of_嫻|娴[xian2] 
嫻	嫻 elegant refined to_be_skilled_at 
嫽	嫽 good smart to_play 
嫿	嫿 tranquil 
嬀	嬀 variant_of_媯|妫[Gui1] 
嬃	嬃 (dialect)_elder_sister_(old) 
嬅	嬅 beautiful used_in_girls'_names 
嬈	嬈 graceful 
嬉	嬉 amusement 
嬋	嬋 beautiful graceful 
嬌	嬌 lovable pampered tender delicate frail 
奄	奄 surname_Yan 
奄	奄 variant_of_閹|阉[yan1] to_castrate variant_of_淹[yan1] to_delay 
奄	奄 suddenly abruptly hastily to_cover to_surround 
奇	奇 odd_(number) 
奇	奇 strange odd weird wonderful surprisingly unusually 
娩	娩 to_give_birth_to_a_child 
娩	娩 complaisant agreeable 
娭	娭 see_娭姐[ai1_jie3],_father's_mother granny_(dialect) respectful_form_of_address_for_older_lady 
娯	娯 Japanese_variant_of_娛|娱[yu2] 
娵	娵 (feminine_name) (star) 
娶	娶 to_take_a_wife to_marry_(a_woman) 
娼	娼 prostitute 
娿	娿 variant_of_婀[e1] 
婆	婆 grandmother matron mother-in-law (slang)_femme_(in_a_lesbian_relationship) 
嵫	嵫 see_崦嵫[Yan1_zi1] 
嵬	嵬 rocky 
嵯	嵯 lofty_(as_of_mountain) 
嵴	嵴 ridge crest apex 
嵼	嵼 winding_mountain_path 
嵾	嵾 uneven not_uniform 
嶁	嶁 mountain_peak 
嶂	嶂 cliff range_of_peaks 
嶃	嶃 variant_of_嶄|崭[chan2] 
嶃	嶃 variant_of_嶄|崭[zhan3] 
嶄	嶄 precipitous 
嶄	嶄 high very 
嶇	嶇 rugged 
嶋	嶋 variant_of_島|岛[dao3],_island used_as_second_component_of_Japanese_names_with_phonetic_value_-shima_or_-jima 
嶌	嶌 variant_of_島|岛[dao3],_island used_in_Japanese_names_with_reading_-shima_or_-jima 
嶒	嶒 lofty precipitous 
嶓	嶓 name_of_a_mountain 
嶔	嶔 loftiness_(of_mountain) 
嶖	嶖 old_variant_of_崦[yan1] 
嶗	嶗 name_of_a_mountain_in_Shandong 
嶙	嶙 ranges_of_hills 
嶝	嶝 path_leading_up_a_mountain 
嶞	嶞 mountain_peak 
嶠	嶠 highest_peak 
峰	峰 (of_a_mountain)_high_and_tapered_peak_or_summit mountain-like_in_appearance highest_level classifier_for_camels 
峱	峱 name_of_a_mountain 
峴	峴 abbr._for_峴首山|岘首山[Xian4_shou3_shan1] Mt_Xianshou_in_Hubei steep_hill used_in_place_names 
島	島 island CL:個|个[ge4],座[zuo4] 
峠	峠 (Japanese_kokuji)_mountain_pass (fig.)_crisis_point pr._tōge 
左	左 surname_Zuo 
奴	奴 slave 
奶	奶 breast milk to_breastfeed 
姘	姘 to_be_a_mistress_or_lover 
姙	姙 variant_of_妊[ren4] 
姚	姚 surname_Yao 
姚	姚 handsome good-looking 
姜	姜 surname_Jiang 
姜	姜 variant_of_薑|姜[jiang1] 
姝	姝 pretty_woman 
姞	姞 surname_Ji 
姣	姣 surname_Jiao 
姣	姣 cunning pretty 
姤	姤 copulate good 
姥	姥 grandma_(maternal) 
奘	奘 great 
奘	奘 fat stout 
奚	奚 surname_Xi 
奚	奚 (literary)_what? where? why? 
奜	奜 big 
奠	奠 to_fix to_settle a_libation_to_the_dead 
奡	奡 haughty vigorous 
奢	奢 extravagant 
嶡	嶡 precipitous mountainous 
嶡	嶡 sacrificial_vessel 
嶢	嶢 high steep to_tower 
嶧	嶧 name_of_hills_in_Shandong 
帖	帖 fitting_snugly appropriate suitable variant_of_貼|贴[tie1] to_paste to_obey 
帖	帖 invitation_card notice 
帖	帖 rubbing_from_incised_inscription 
帗	帗 object_held_by_dancer 
帘	帘 flag_used_as_a_shop_sign variant_of_簾|帘[lian2] 
帙	帙 surname_Zhi 
帙	帙 book_cover 
帚	帚 broom 
帛	帛 silk 
帝	帝 emperor 
學	學 to_learn to_study to_imitate science -ology 
嶨	嶨 big_rocky_mountain 
嶪	嶪 see_岌嶪[ji2_ye4] 
嶫	嶫 variant_of_嶪[ye4] 
嶭	嶭 elevated lofty 
嶮	嶮 precipitous rugged 
嶰	嶰 mountain_valley 
嶲	嶲 old_variant_of_巂[xi1] 
嶴	嶴 plain_in_the_middle_of_the_mountains used_in_place_names,_esp._in_浙江[Zhe4_jiang1]_and_福建[Fu2_jian4] 
嶷	嶷 name_of_a_mountain_in_Hunan 
嶸	嶸 lofty 
嶺	嶺 mountain_range mountain_ridge 
嶼	嶼 islet 
嶽	嶽 surname_Yue 
嶽	嶽 high_mountain highest_peak_of_a_mountain_ridge 
巂	巂 cuckoo revolution_of_a_wheel 
巂	巂 place_name_in_Sichuan 
察	察 short_name_for_Chahar_Province_察哈爾|察哈尔[Cha2_ha1_er3] 
察	察 to_examine to_inquire to_observe to_inspect to_look_into obvious clearly_evident 
夠	夠 enough_(sufficient) enough_(too_much) (coll.)_(before_adj.)_really (coll.)_to_reach_by_stretching_out 
姥	姥 governess old_woman 
姦	姦 to_fornicate to_defile adultery rape 
姧	姧 variant_of_姦|奸[jian1],_adultery,_villain 
姨	姨 mother's_sister aunt 
姪	姪 nephew_by_the_male_line 
奸	奸 wicked crafty traitor variant_of_姦|奸[jian1] 
屜	屜 drawer tier tray 
屝	屝 coarse sandals 
屠	屠 surname_Tu 
